,,
id,kavaler_id,failinimi
F-0112,VRK-0162,"0162, bernard, ernst-johannes.png"
F-0113,VRK-0163,"0163, berthelot, philippe.png"
F-0114,VRK-0164,"0164, bērtulsons, fricis.png"
F-0115,VRK-0168,"0168, björksten, thure gustav alfred af.png"
F-0116,VRK-0171,"0171, blomqvist, karl lauri.png"
F-0117,VRK-0172,"0172, blumfeldt, karl.png"
F-0118,VRK-0174,"0174, bojārs, kārlis.png"
F-0119,VRK-0177,"0177, bonne, louis.png"
F-0120,VRK-0180,"0180, borgelin, richard-gustav.png"
F-0121,VRK-0182,"0182, borkman, paul-johannes.png"
F-0122,VRK-0183,"0183, borkvell, julius-albert.png"
F-0123,VRK-0184,"0184, borman, anton.png"
F-0124,VRK-0185,"0185, borodin, nikolai.png"
F-0125,VRK-0189,"0189, brahmann, adolf.png"
F-0126,VRK-0190,"0190, brakel, arthur-johann.png"
F-0127,VRK-0192,"0192, brede, herbert-lorenz-georg.png"
F-0128,VRK-0194,"0194, bremner, william hamilton.png"
F-0129,VRK-0196,"0196, briand, aristide.png"
F-0130,VRK-0197,"0197, bridgeman, william clive.png"
F-0131,VRK-0199,"0199, briti tundmatu sõdur.png"
F-0132,VRK-0204,"0204, brzozowski, rajmund tomasz.png"
F-0133,VRK-0205,"0205, buck, arnold.png"
F-0134,VRK-0208,"0208, busch, johannes-adolf-heinrich.png"
F-0135,VRK-0209,"0209, busch, karl.png"
F-0136,VRK-0210,"0210, busch, mathilde.png"
F-0137,VRK-0211,"0211, bušs, kārlis augusts.png"
F-0138,VRK-0213,"0213, buxhoeveden, peter-eugen-arthur.png"
F-0139,VRK-0186,"0186, bõstrovski, ivan.png"
F-0140,VRK-0215,"0215, čakste, jānis.png"
F-0141,VRK-0216,"0216, calonius, matti ernest gustaf.png"
F-0142,VRK-0218,"0218, carr, edward hallett.png"
F-0143,VRK-0221,"0221, cederberg, otto-elias.png"
F-0144,VRK-0223,"0223, chamberlain, joseph austen.png"
F-0145,VRK-0225,"0225, charwat, franciszek.png"
F-0146,VRK-0226,"0226, christian x.png"
F-0147,VRK-0227,"0227, christiansen, anna.png"
F-0148,VRK-0228,"0228, churchill, winston leonard spencer.png"
F-0149,VRK-0230,"0230, clemenceau, georges benjamin.png"
F-0150,VRK-0233,"0233, contarini, salvatore.png"
F-0151,VRK-0235,"0235, cowan, walter henry.png"
F-0152,VRK-0236,"0236, cunliffe-lister, philip.png"
F-0153,VRK-0238,"0238, dahlman, karl rafael.png"
F-0154,VRK-0240,"0240, dampf, alfred-michael-harald.png"
F-0155,VRK-0241,"0241, dampf, villiam-andreas.png"
F-0156,VRK-0243,"0243, dannebergs, artūrs.png"
F-0157,VRK-0245,"0245, dawley, ernest joseph.png"
F-0158,VRK-0246,"0246, debeney, marie-eugène.png"
F-0159,VRK-0247,"0247, delagarde, theodore.png"
F-0160,VRK-0250,"0250, derjugin, anatoli.png"
F-0161,VRK-0251,"0251, derrik, aleksander.png"
F-0162,VRK-0252,"0252, diaz, armando vittorio.png"
F-0163,VRK-0253,"0253, dobrzyński, wacław tadeusz.png"
F-0164,VRK-0254,"0254, dobson, claude congreve.png"
F-0165,VRK-0255,"0255, donald, david grahame.png"
F-0166,VRK-0256,"0256, doumergue, gaston.png"
F-0167,VRK-0257,"0257, dowbor-muśnicki, józef.png"
F-0168,VRK-0259,"0259, drell, august-ulrich.png"
F-0169,VRK-0260,"0260, drummond, james eric.png"
F-0170,VRK-0261,"0261, drymmer, wiktor tomir.png"
F-0171,VRK-0262,"0262, dunbar-nasmith, martin eric.png"
F-0172,VRK-0263,"0263, duņēns, kārlis.png"
F-0173,VRK-0264,"0264, dunkel, johannes.png"
F-0174,VRK-0266,"0266, dutšinski, nikolai-ferdinand.png"
