Józef Dowbor-Muśnicki       |       VR I/2
August-Ulrich Drell       |       VR II/3
James Eric Drummond      |      VR III/1
Wiktor Tomir Drymmer       |       VR I/3
Martin Eric  Dunbar-Nasmith      |       VR I/2
Kārlis Duņēns      |      VR II/3
Johannes Dunkel      |      VR II/3
Nikolai-Ferdinand Dutšinski      |       VR II/3
Hugo-Edgar Eckstein      |      VR I/3
Gustav-Eduard Eenpõllu      |       VR II/3
Carl August Ehrensvärd      |       VR III/1
Johannes Eibak      |      VR II/3
Edgar-Villiam Eik      |      VR II/3
Erich-Johannes Eimre      |      VR II/3
Osvald-August Einer      |      VR II/3
Aleksander Einpaul      |      VR II/3
Uudo Alexandre Einsild      |      VR II/3
Eduard-Romanus Einstruk      |       VR II/3
Vladislav-Ernst-Emanuel Eiso      |       VR II/3
August Ekbaum      |      VR II/3
Martin Eugén Ekström      |      VR I/1, II/3
Alfred Elbrecht      |      VR II/3
Jaan Eliste      |      VR II/3
Osvald Ellamaa      |      VR II/3
Julius Ellandi      |      VR II/3
Oskar Eller      |      VR II/3
August Emar      |      VR II/3
Claude Scudamore Emery      |       VR I/3
Carl Johan Alexis Enckell      |       VR I/2, III/1
Richard Ende      |      VR II/3
Jüri Endemann      |      VR II/3
Arved-Johannes Engmaa      |       VR I/3, II/3
August Enok      |      VR II/3
August Enula      |      VR II/3
Rafael Waldemar Erich      |       VR III/1
Paul Erik      |      VR I/3
Voldemar Erik      |      VR II/3
Andrei Erikson      |      VR II/3
August Erikson      |      VR II/3
Erik Eero Erkko      |      VR III/1
Erich-Johann-Constantin Erler      |       VR I/3
Hans Erm      |      VR II/3
Konstantin-Friedrich Erm      |       VR I/3
Pavel Erna      |      VR II/3
Aleksander Erschke      |      VR II/3
Aleksander Ervin      |      VR II/3
Anto Nestori Eskola      |      VR II/3
Juhan Estam      |      VR II/3
Arnold-Robert Evertson      |       VR I/3
Karl Falk      |      VR II/3
Hermann Faltis      |      VR II/3
Edmund Feldt      |      VR II/3
Georgi Feofanov      |      VR I/2
Peeter Feofanov      |      VR II/3
Nikolai Fischer      |      VR II/3
Herbert Albert Laurens Fisher      |       VR III/1
Ferdinand Jean Marie Foch      |       VR I/1
Hellmuth-Arthur-Julius Foelsch      |       VR II/3
Konstantin-Kristjan-Herbert Folker      |       VR II/3
Jenny Mathilda af Forselles      |       VR I/3
Augustin Pierre Becq de Fouquières      |       VR III/1
Henry Franklin-Bouillon      |       VR III/1
Sydney Robert Fremantle      |       VR I/1
Alexander Frey      |      VR I/2
Christian-Georg Freyberg      |       VR II/3
Evald Friedrichson      |      VR I/3, II/3
Vladimir Fuks      |      VR II/3
John Allyne Gade      |      VR I/1
Edgar Algernon Robert Gascoyne-Cecil      |       VR III/1
Pietro Gasparri      |      VR III/1
Benno-Ferdinand-Leo Gebhardt      |       VR I/3
Peter Viggo Geldorf      |      VR II/3
Valter-Friedrich Gengelbach      |       VR II/3
Hendrik Gentalen      |      VR II/3
George V      |      VR I/1
Paul Gerretz      |      VR I/3
Georg-Eduard-Joachim-Adolph Gloy      |       VR II/3
Hubert de la Poer Gough      |       VR I/1
Władysław Dominik Grabski      |       VR III/1
Johannes Grant      |      VR II/3
Jaak Gregor      |      VR I/3
John Duncan Gregory      |      VR III/1
Valentin-Martin Grenz      |       VR I/3
John Charles Groome      |       VR I/2
Friedrich-Bruno Gross      |       VR II/3
Erich-Nicolai Grossberger      |       VR I/3
Ensio Edvard Gabriel Groundstroem      |       VR II/3
Eduard Gröön      |      VR II/3
Karl-Richard Grünberg      |       VR II/3
Iver de Hemmer Gudme      |      VR I/2
Peter de Hemmer Gudme      |      VR II/3
Nikolai Gurjanov      |      VR II/3
Gustav V      |      VR III/1
August Gustavson      |      VR II/3
Konstantin Gustavson      |      VR II/3
Karl Hjalmar Göös
VR I/2
Karl-Friedrich Haas      |      VR I/3
Rudolf Haasma      |      VR II/3
Karl-Leopold Habermann      |       VR II/3
Johan-Heinrich Hahn      |       VR II/3
Douglas Haig      |      VR I/1
Johannes Hainsalu      |      VR II/3
Lars Håkansson      |      VR II/3
Richard Cyril Byrne Haking      |       VR I/1
Hugo-Voldemar Hakk      |      VR II/3
Józef Haller de Hallenburg      |       VR I/2
Stanisław Haller de Hallenburg      |       VR III/1, I/3
Arthur-Johannes Halliku      |       VR II/3
John Hanbury-Williams      |       VR III/1
Karl Onni Gerhard Hannikainen      |       VR I/3
Patrick Joseph Henry Hannon      |       VR III/2
Erkki Hannula      |      VR II/3, II/3
Paul-Johannes Hansar      |      VR II/3
Andres Hansen      |      VR II/3
Edgar-Harry-Hermann Hansen      |       VR I/3
Karl Hansen      |      VR II/3
Osvald Hansen      |      VR II/3
Jaan Hanson      |      VR II/3
Jaan Hanson      |      VR II/3
Paul Hanson      |      VR II/3
Jaan Hanssoo      |      VR I/3
Balder Hanstein      |      VR II/3
Hans Harjakas      |      VR II/3
Kaarlo Eerikki Harju      |      VR II/3
Vilho Akseli Harjusvuo      |      VR II/3
Mārtiņš Hartmanis      |      VR I/2
Viktors Hasmanis      |      VR I/2
August Haudumägi      |      VR II/3
Väinö Rafael Havas      |      VR II/3
August Reinhold Hedberg      |       VR I/2
Tiido Hein      |      VR II/3
Enn Heinaru      |      VR II/3
Johannes-eduard Heinmaa      |       VR II/3
Juhan Heinmaa      |      VR II/3
Juhan Heinmaa      |      VR II/3
Johnny Heinrichsen      |      VR I/3
Karen Heinrichsen      |      VR I/3
Edgar-Georg-Heinrich Heinrichsen      |       VR I/3
Jaak Heinsalu      |      VR II/3
Kaljo Heinsalu      |      VR II/3
Otto-Emil-Eduard Heinze      |       VR I/2, II/3
Jaan Heljuste      |      VR II/3
Jüri Hellat      |      VR I/2
Jaan Helm      |      VR II/3
Karl Birger Helsingius      |      VR I/3
Lauri Jafet Helske      |      VR II/3
Loy Wesley Henderson      |      VR I/3
Johan Henno      |      VR II/3
Paul-Nkolai-Johann Herem      |       VR II/3
Johannes-Eduard Herm      |       VR I/2, II/3
Alfred Herne      |      VR II/3
Eduard Herne      |      VR II/3
Édouard Herriot      |      VR III/1
Hendrik Hiielaid      |      VR II/3
Kaarlo Henrik Hillilä      |      VR II/3
Egon-Ferdinand Hindreus      |       VR II/3
Svend Hindse-Nielsen      |      VR I/3
Aleksander Hinno      |      VR II/3
Paul Hinno      |      VR I/3
Arnold-Johannes Hinnom      |       VR I/2
Ludvig Hinnov      |      VR II/3
Eugenjusz Hinterhoff      |      VR I/3
Arved Hinto      |      VR II/3
Martin-August Hints      |      VR II/3
Richard-Eduard Hiob      |      VR II/3
Viktor Hion      |      VR II/3
Jaan Hirjel      |      VR II/3
Vladimir Hirve      |      VR II/3
Hans Hirvelaan      |      VR II/3
Vera Augusta Hjelt      |      VR I/3
Valborg Hjorth      |      VR I/3
Robert Hoffart      |      VR II/3
Johan Holberg      |      VR II/3
Vilis Holcmanis      |      VR III/2
Herbert-Andreas Hold      |      VR I/2
Johannes-Voldemar Holland      |       VR II/2, II/3
Harald-Matthias Holm      |      VR II/3
Heinrich Holm      |      VR II/3
Harri Gustaf Holma      |      VR I/1
Soini Jalmari Holopainen      |       VR II/3
Johann-Ferdinand Holsmann      |       VR II/3
Ernst Emil Holstein      |      VR II/3
Eino Rudolf Woldemar Holsti      |       VR III/1
Iivari Mauri Honkajuuri      |       VR I/2
André Honnorat      |      VR III/1
Reinhold Hook      |      VR II/3
Julius Horn      |      VR II/3
Eirik Mikael Hornborg      |      VR I/2
Miklós Horthy de Nagybánya      |       VR III/1
Max Kennedy Horton      |      VR I/2
Esme William Howard      |      VR III/1
Hermann-Hans-Jürgen Hoyningen-Huene      |       VR II/3
Karl Hunt      |      VR II/3
Reinhold-Aleksander Hunt      |       VR I/3
Kaarlo Viktor Hurmerinta      |       VR I/3
Richard Hurt      |      VR II/3
Jaan Hussar      |      VR II/3
Edgar-Johannes Hõbemägi      |       VR II/3
Aleksander-Johannes Häelme      |       VR I/3
Pietari Einar Häll      |      VR II/3
Mikko Hänninen      |      VR II/3
Edmund-Rudolf Hüppler      |       VR II/3
Valdur Hüvato      |      VR II/3
Paul Louis Adrien Henri Hymans      |       VR III/1
Hellmuth-Matthias Ibrus      |       VR II/3
Hans Idam      |      VR II/3
Karl Gustaf Idman      |      VR III/1
Märt Iir      |      VR II/3
Ernst-August Ilme      |      VR II/3
Salme Ilmet      |      VR II/3
Aleksander Ilves      |      VR II/3
August Ilves      |      VR II/3
Johannes Ingel      |      VR II/3
Oskar Inti      |      VR II/3
Anton Irv      |      VR I/2, II/2, II/3
Kikujirō Ishii      |      VR III/1
Antti Isotalo      |      VR I/3
Itaalia tundmatu sõdur      |      VR I/1
Santeri Ivalo      |      VR I/1
Karl Ivand      |      VR II/3
Oskars Arveds Ivansons      |      VR II/3
Wacław Teodor Iwaszkiewicz-Rudoszański      |       VR I/3
Arnold Jaago      |      VR II/3
